ADC,T in °C
,
,
95,86
108,85
112,84
115,83
116,82
121,81
125,80
130,79
132,78
135,77
141,76
145,75
149,74
154,73
158,72
163,71
167,70
173,69
178,68
183,67
179,66
187,65
192,64
199,63
204,62
209,61
213,60
219,59
225,58
233,57
238,56
241,55
245,54
249,53
257,52
264,51
269,50
267,49
271,48
278,47
284,46
289,45
297,44
301,43
306,42
311,41
313,40
315,39
319,38
323,37
327,36
334,35
345,34
361,33
375,32
386,31.5
398,31
403,30.5
429,27.5
434,27
440,26.5
444,26
448,25.5
455,25
473,24.5
492,23.4
477,22.4
529,19.2
569,15.4
